GEMS,F850,e_F850,Re,e_Re,n,e_n,b/a,e_b/a,PA,f1,f2,RAJ2000,DEJ2000
J033233.86-280133.1,24.59,0.08,4.07,0.1,0.35,0.24,0.436,0.053,35.6,1,0,53.141064,-28.02586
J033234.02-280249.0,23.98,0.14,14.87,0.15,1.09,0.33,0.479,0.067,64.1,1,1,53.141762,-28.046936
J033234.00-280333.0,24.01,0.09,7.47,0.14,3.45,0.57,0.175,0.037,-52.7,1,1,53.14165,-28.059176
J033234.05-280310.2,24.45,0.13,9.97,0.15,0.85,0.31,0.612,0.066,62.7,1,1,53.141869,-28.052842
J033234.10-280240.4,25.3,0.03,1.27,0.05,4.66,0.34,0.19,0.02,4.2,1,0,53.142095,-28.044549
J033234.14-280031.6,24.59,0.11,13.03,0.13,0.53,0.29,0.177,0.063,-82.1,1,1,53.142231,-28.00878
J033234.27-280218.8,22.96,0.49,64.08,0.46,4.51,1.12,0.368,0.068,81.1,1,0,53.142779,-28.038549
J033234.50-280251.7,23.06,0.6,93.46,0.5,5.88,1.23,0.451,0.075,73.2,1,0,53.143733,-28.047683
J033234.53-280216.5,24.18,0.26,13.51,0.32,8.0,0.97,0.568,0.051,-61.7,0,0,53.143867,-28.037911
J033234.56-280228.7,24.82,0.1,3.88,0.12,1.16,0.3,0.754,0.058,13.3,1,1,53.144018,-28.041293
J033234.58-280132.8,24.0,0.18,21.96,0.2,1.55,0.45,0.358,0.069,6.5,1,0,53.144078,-28.025777
J033234.61-280234.0,25.67,0.09,3.92,0.11,0.2,0.26,0.24,0.057,59.2,0,0,53.14419,-28.042773
J033234.67-280304.6,24.14,0.14,15.08,0.15,0.55,0.31,0.386,0.067,-46.4,1,1,53.144451,-28.051289
J033234.63-280317.3,24.92,0.13,9.2,0.15,0.79,0.31,0.463,0.066,87.1,1,0,53.144303,-28.054802
J033234.73-280050.2,23.82,0.14,16.16,0.15,0.6,0.32,0.498,0.067,87.7,1,1,53.144708,-28.013931
J033234.80-280302.0,25.2,0.09,4.87,0.11,0.44,0.26,0.228,0.056,-49.6,1,0,53.144989,-28.050552
J033234.82-280301.8,25.03,0.08,3.37,0.15,8.0,0.64,0.314,0.034,-59.4,0,0,53.145096,-28.05051
J033234.91-280313.6,24.61,0.1,4.8,0.14,1.96,0.43,0.451,0.051,-14.0,1,1,53.145439,-28.053785
J033234.99-280119.1,24.94,0.13,7.12,0.14,0.8,0.3,0.652,0.066,3.6,1,0,53.145777,-28.021985
